,country,points,variety,winery,winery_search
1047,US,85,Merlot,Irony,Irony winery US
1048,France,85,Cabernet Sauvignon,Kedar's K'orus,Kedar's K'orus winery France
1049,France,85,Chardonnay,Kedar's K'orus,Kedar's K'orus winery France
1050,US,85,Merlot,Little Black Dress,Little Black Dress winery US
1058,US,85,Syrah,Bridgeway,Bridgeway winery US
1067,US,94,Pinot Noir,Sea Slopes,Sea Slopes winery US
1068,US,94,Pinot Noir,Trisaetum,Trisaetum winery US
1069,US,94,Pinot Noir,Bergström,Bergström winery US
1070,US,94,Pinot Noir,Bergström,Bergström winery US
1075,US,94,Chardonnay,Shafer,Shafer winery US
1076,France,94,Pinot Noir,Alphonse Mellot,Alphonse Mellot winery France
1078,US,94,Chardonnay,Bergström,Bergström winery US
1079,US,94,Chardonnay,Big Table Farm,Big Table Farm winery US
1080,US,94,Riesling,Trisaetum,Trisaetum winery US
1081,US,94,Riesling,Trisaetum,Trisaetum winery US
1082,US,94,Syrah,Horsepower,Horsepower winery US
1086,US,94,Riesling,Trisaetum,Trisaetum winery US
1087,US,94,Pinot Noir,Williams Selyem,Williams Selyem winery US
1088,US,94,Syrah,Cayuse,Cayuse winery US
1091,US,94,Pinot Noir,Cobb,Cobb winery US
1092,US,94,Pinot Noir,Dion,Dion winery US
1093,France,94,Pinot Noir,Domaine Bernard Fleuriet et Fils,Domaine Bernard Fleuriet et Fils winery France
1094,US,94,Pinot Noir,Drouhin Oregon Roserock,Drouhin Oregon Roserock winery US
1095,US,90,Cabernet Sauvignon,Robert Mondavi,Robert Mondavi winery US
1098,US,90,Chardonnay,Rutherford Ranch,Rutherford Ranch winery US
1101,Austria,90,Chardonnay,Weixelbaum,Weixelbaum winery Austria
1102,US,90,Chardonnay,Landmark,Landmark winery US
1103,US,90,Sauvignon Blanc,Mercer,Mercer winery US
1104,France,90,Syrah,Michel Gassier,Michel Gassier winery France
1113,US,90,Sauvignon Blanc,Chateau Ste. Michelle,Chateau Ste. Michelle winery US
1116,US,90,Merlot,Cookies & Cream,Cookies & Cream winery US
1122,US,84,Riesling,Three Brothers,Three Brothers winery US
1125,US,84,Pinot Noir,Belden Barns,Belden Barns winery US
1130,US,84,Cabernet Sauvignon,In Re,In Re winery US
1131,New Zealand,84,Sauvignon Blanc,Chasing Venus,Chasing Venus winery New Zealand
1135,Chile,84,Sauvignon Blanc,Concha y Toro,Concha y Toro winery Chile
1139,US,84,Cabernet Sauvignon,Madrigal,Madrigal winery US
1140,US,84,Chardonnay,Millbrook,Millbrook winery US
1141,Chile,84,Chardonnay,Santa Rita,Santa Rita winery Chile
1142,US,84,Chardonnay,Scotto Family Cellars,Scotto Family Cellars winery US
1147,US,83,Merlot,Barnard Griffin,Barnard Griffin winery US
1165,US,86,Cabernet Sauvignon,Ghost Pines,Ghost Pines winery US
1166,US,86,Merlot,Wellington,Wellington winery US
1170,Argentina,86,Chardonnay,Trapiche,Trapiche winery Argentina
1171,Germany,86,Riesling,Louis Guntrum,Louis Guntrum winery Germany
1172,US,86,Pinot Noir,Pali,Pali winery US
1173,US,86,Pinot Noir,Robert Stemmler,Robert Stemmler winery US
1174,Argentina,86,Merlot,Rutini,Rutini winery Argentina
1177,Portugal,88,Rosé,Wines & Winemakers,Wines & Winemakers winery Portugal
1178,Argentina,88,Cabernet Sauvignon,Zolo,Zolo winery Argentina
1182,Australia,88,Sauvignon Blanc,Beresford,Beresford winery Australia
1186,France,88,Chardonnay,Cave des Vignerons de Buxy,Cave des Vignerons de Buxy winery France
1188,France,88,Chardonnay,Château de Fuissé,Château de Fuissé winery France
1189,France,88,Chardonnay,Château de Santenay,Château de Santenay winery France
1190,US,88,Chardonnay,Chime,Chime winery US
1191,France,88,Chardonnay,Christophe Cordier,Christophe Cordier winery France
1196,US,87,Chardonnay,Aubichon Cellars,Aubichon Cellars winery US
1200,Germany,87,Riesling,Blue Fish,Blue Fish winery Germany
1201,France,87,Chardonnay,Bouchard Père & Fils,Bouchard Père & Fils winery France
1206,US,87,Chardonnay,Coelho,Coelho winery US
1210,US,93,Cabernet Sauvignon,St. Francis,St. Francis winery US
1212,US,93,Pinot Noir,Tantara,Tantara winery US
1213,US,93,Pinot Noir,Westerly,Westerly winery US
1214,US,93,Sauvignon Blanc,Aesthete,Aesthete winery US
1216,US,93,Syrah,Barton,Barton winery US
1219,US,93,Syrah,Central Coast Group Project,Central Coast Group Project winery US
1221,US,93,Pinot Noir,Fess Parker,Fess Parker winery US
1222,US,93,Syrah,Hecho por Ruben,Hecho por Ruben winery US
1226,US,93,Chardonnay,Longboard,Longboard winery US
1227,US,93,Pinot Noir,Piro,Piro winery US
1228,US,93,Pinot Noir,Point & Line,Point & Line winery US
1230,US,93,Pinot Noir,Tantara,Tantara winery US
1233,US,92,Pinot Noir,Balletto,Balletto winery US
1234,US,92,Pinot Noir,Bien Nacido,Bien Nacido winery US
1236,US,92,Chardonnay,Cambria,Cambria winery US
1241,US,88,Chardonnay,Chateau Ste. Michelle,Chateau Ste. Michelle winery US
1242,South Africa,88,Chardonnay,Danie de Wet,Danie de Wet winery South Africa
1245,South Africa,88,Sauvignon Blanc,Mulderbosch,Mulderbosch winery South Africa
1246,US,88,Cabernet Sauvignon,Provenance Vineyards,Provenance Vineyards winery US
1247,South Africa,88,Sauvignon Blanc,Rietvallei Estate Wine,Rietvallei Estate Wine winery South Africa
1251,Germany,88,Riesling,Leo,Leo winery Germany
1253,US,88,Chardonnay,Washington Hills,Washington Hills winery US
1254,US,88,Chardonnay,Washington Hills,Washington Hills winery US
1255,South Africa,88,Merlot,Guardian Peak,Guardian Peak winery South Africa
1256,US,88,Cabernet Sauvignon,Bell,Bell winery US
1263,US,85,Riesling,Hosmer,Hosmer winery US
1264,US,85,Pinot Noir,Ancient Oak Cellars,Ancient Oak Cellars winery US
1266,US,85,Riesling,Black Star Farms,Black Star Farms winery US
1270,US,85,Cabernet Sauvignon,Markham,Markham winery US
1273,US,84,Chardonnay,La Merika,La Merika winery US
1274,Italy,84,Chardonnay,Masseria del Feudo Grottarossa,Masseria del Feudo Grottarossa winery Italy
1275,US,84,Merlot,Napa Family Vineyards,Napa Family Vineyards winery US
1276,US,84,Cabernet Sauvignon,Petroni,Petroni winery US
1277,US,84,Sauvignon Blanc,Petroni,Petroni winery US
1282,US,84,Riesling,Brotherhood,Brotherhood winery US
1284,France,84,Chardonnay,Cave de Lugny,Cave de Lugny winery France
1285,New Zealand,84,Pinot Noir,Dashwood,Dashwood winery New Zealand
1287,US,89,Cabernet Sauvignon,Ghost Waltz,Ghost Waltz winery US
1289,Germany,89,Riesling,Gustav Adolf Schmitt,Gustav Adolf Schmitt winery Germany
1293,US,89,Cabernet Sauvignon,Cliff Lede,Cliff Lede winery US
1295,US,89,Chardonnay,Consilience,Consilience winery US
1298,US,89,Syrah,Cedar Creek,Cedar Creek winery US
1300,US,89,Chardonnay,Demetria,Demetria winery US
1301,France,89,Sauvignon Blanc,Domaine de l'Ermitage,Domaine de l'Ermitage winery France
1302,France,89,Sauvignon Blanc,Domaine de Rome,Domaine de Rome winery France
1303,Germany,89,Riesling,Domdechant Werner,Domdechant Werner winery Germany
1304,Germany,89,Riesling,Dr. Fischer,Dr. Fischer winery Germany
1306,Spain,89,Cabernet Sauvignon,Pinord,Pinord winery Spain
1307,US,89,Pinot Noir,Purple Hands,Purple Hands winery US
1311,US,89,Chardonnay,Summers,Summers winery US
1313,US,89,Cabernet Sauvignon,Terra Valentine,Terra Valentine winery US
1318,US,90,Cabernet Sauvignon,Viszlay Vineyards,Viszlay Vineyards winery US
1319,New Zealand,90,Sauvignon Blanc,Yealands,Yealands winery New Zealand
1324,US,90,Syrah,Ampelos,Ampelos winery US
1325,US,90,Syrah,Ascencion,Ascencion winery US
1327,New Zealand,90,Chardonnay,Carrick,Carrick winery New Zealand
1328,US,90,Pinot Noir,Challen,Challen winery US
1333,US,90,Syrah,Crux,Crux winery US
1334,US,90,Sauvignon Blanc,Damiani,Damiani winery US
1335,US,90,Rosé,Damiani,Damiani winery US
1338,France,90,Rosé,Domaine Clos Gautier,Domaine Clos Gautier winery France
1339,France,90,Rosé,Domaine Harmonie des Arpents,Domaine Harmonie des Arpents winery France
1340,France,90,Rosé,Domaine Sainte-Marie,Domaine Sainte-Marie winery France
1342,US,90,Cabernet Sauvignon,Doren,Doren winery US
1348,US,86,Riesling,14 Hands,14 Hands winery US
1353,France,86,Rosé,Chateau le Grand Verdus,Chateau le Grand Verdus winery France
1359,US,86,Pinot Noir,Toad Hollow,Toad Hollow winery US
1365,France,87,Rosé,Saint André de Figuière,Saint André de Figuière winery France
1366,Chile,87,Cabernet Sauvignon,Santa Alicia,Santa Alicia winery Chile
1367,France,87,Rosé,Château d'Esclans,Château d'Esclans winery France
1368,US,87,Chardonnay,Gainey,Gainey winery US
1370,US,86,Rosé,Bonterra,Bonterra winery US
1371,US,86,Syrah,Chaddsford,Chaddsford winery US
1375,France,86,Rosé,Mas de la Dame,Mas de la Dame winery France
1376,US,86,Syrah,Montevina,Montevina winery US
1378,US,86,Cabernet Sauvignon,Substance,Substance winery US
1380,US,86,Rosé,Stevenot,Stevenot winery US
1385,Germany,88,Riesling,S.A. Prüm,S.A. Prüm winery Germany
1388,US,88,Pinot Noir,August Truth,August Truth winery US
1392,US,88,Pinot Noir,Apriori,Apriori winery US
1398,Germany,88,Riesling,C. von Nell-Breuning,C. von Nell-Breuning winery Germany
1406,US,88,Chardonnay,Matchbook,Matchbook winery US
1409,US,88,Cabernet Sauvignon,Paratus,Paratus winery US
1410,Germany,88,Riesling,Peter Mertes,Peter Mertes winery Germany
1413,US,88,Pinot Noir,Replica,Replica winery US
1418,US,93,Cabernet Sauvignon,Dunham,Dunham winery US
1423,US,93,Cabernet Sauvignon,Marita's Vineyard,Marita's Vineyard winery US
1424,US,92,Cabernet Sauvignon,Pamplin,Pamplin winery US
1428,US,92,Cabernet Sauvignon,Rocca,Rocca winery US
1436,US,92,Cabernet Sauvignon,Walla Walla Vintners,Walla Walla Vintners winery US
1439,US,92,Merlot,Efeste,Efeste winery US
1440,US,92,Cabernet Sauvignon,Ferrari-Carano,Ferrari-Carano winery US
1441,Austria,92,Pinot Noir,Fritsch,Fritsch winery Austria
1444,US,94,Cabernet Sauvignon,Z. Alexander Brown,Z. Alexander Brown winery US
1446,France,94,Chardonnay,Alex Gambal,Alex Gambal winery France
1450,France,94,Pinot Noir,David Duband,David Duband winery France
1451,France,94,Pinot Noir,David Duband,David Duband winery France
1453,France,94,Pinot Noir,Louis Jadot,Louis Jadot winery France
1456,US,94,Cabernet Sauvignon,Freemark Abbey,Freemark Abbey winery US
1457,Germany,94,Riesling,Fritz Haag,Fritz Haag winery Germany
1459,US,94,Cabernet Sauvignon,Grimm's Bluff,Grimm's Bluff winery US
1461,US,93,Sauvignon Blanc,Joseph Phelps,Joseph Phelps winery US
1463,France,93,Pinot Noir,Louis Jadot,Louis Jadot winery France
1464,US,93,Syrah,Mesa Del Sol,Mesa Del Sol winery US
1466,US,93,Cabernet Sauvignon,Pine Ridge,Pine Ridge winery US
1467,US,93,Pinot Noir,Sandler,Sandler winery US
1468,US,93,Cabernet Sauvignon,Sixteen by Twenty,Sixteen by Twenty winery US
1469,US,93,Cabernet Sauvignon,Stone The Crows,Stone The Crows winery US
1470,US,93,Pinot Noir,Tolosa,Tolosa winery US
1472,US,93,Cabernet Sauvignon,Volker Eisele Family Estate,Volker Eisele Family Estate winery US
1473,Chile,86,Cabernet Sauvignon,TerraNoble,TerraNoble winery Chile
1476,US,86,Cabernet Sauvignon,Arbor Crest,Arbor Crest winery US
1477,Chile,86,Cabernet Sauvignon,Aresti,Aresti winery Chile
1479,Chile,85,Syrah,Chilensis,Chilensis winery Chile
1480,Chile,85,Chardonnay,Domaines Barons de Rothschild (Lafite),Domaines Barons de Rothschild (Lafite) winery Chile
1481,US,85,Riesling,Fetzer,Fetzer winery US
1482,Argentina,85,Cabernet Sauvignon,Finca Sophenia,Finca Sophenia winery Argentina
1483,France,85,Sauvignon Blanc,Fournier Père et Fils,Fournier Père et Fils winery France
1484,New Zealand,85,Sauvignon Blanc,Barker's Marque,Barker's Marque winery New Zealand
1485,US,85,Merlot,Beringer,Beringer winery US
1487,US,85,Pinot Noir,Carneros Creek,Carneros Creek winery US
1490,New Zealand,85,Pinot Noir,Konrad,Konrad winery New Zealand
1492,New Zealand,85,Pinot Noir,Mana,Mana winery New Zealand
1493,Argentina,85,Chardonnay,Michel Torino,Michel Torino winery Argentina
1496,Argentina,85,Chardonnay,Santa Julia,Santa Julia winery Argentina
1499,Chile,85,Cabernet Sauvignon,San Pedro,San Pedro winery Chile
1501,US,92,Pinot Noir,Sequana,Sequana winery US
1502,US,92,Pinot Noir,Small Vines,Small Vines winery US
1503,Italy,92,Cabernet Sauvignon,Tasca d'Almerita,Tasca d'Almerita winery Italy
1504,US,92,Pinot Noir,Bergström,Bergström winery US
1505,Austria,92,Riesling,Bründlmayer,Bründlmayer winery Austria
1510,US,92,Merlot,Happy Canyon Vineyard,Happy Canyon Vineyard winery US
1513,Italy,92,Chardonnay,Planeta,Planeta winery Italy
1514,US,92,Pinot Noir,Carabella,Carabella winery US
1515,US,92,Cabernet Sauvignon,Charles Krug,Charles Krug winery US
1519,Chile,92,Cabernet Sauvignon,Concha y Toro,Concha y Toro winery Chile
1523,US,92,Pinot Noir,Rex Hill,Rex Hill winery US
1525,US,92,Cabernet Sauvignon,Steven Kent,Steven Kent winery US
1526,Italy,86,Rosé,Hauner,Hauner winery Italy
1528,Portugal,86,Rosé,J. Portugal Ramos,J. Portugal Ramos winery Portugal
1529,US,86,Chardonnay,Jack's House,Jack's House winery US
1530,Spain,86,Chardonnay,Jean León,Jean León winery Spain
1533,US,85,Rosé,Cellars 33,Cellars 33 winery US
1537,France,85,Rosé,Château Lalande Méric,Château Lalande Méric winery France
1538,France,85,Rosé,Château Lauduc,Château Lauduc winery France
1539,US,85,Syrah,Cline,Cline winery US
1541,Portugal,85,Rosé,DFJ Vinhos,DFJ Vinhos winery Portugal
1543,Romania,85,Sauvignon Blanc,Jidvei,Jidvei winery Romania
1546,Chile,85,Chardonnay,Rubus,Rubus winery Chile
1549,Chile,85,Sauvignon Blanc,Valdivieso,Valdivieso winery Chile
1554,US,85,Chardonnay,Bowman Cellars,Bowman Cellars winery US
1556,US,99,Cabernet Sauvignon,Quilceda Creek,Quilceda Creek winery US
1557,US,99,Pinot Noir,Williams Selyem,Williams Selyem winery US
1565,US,97,Cabernet Sauvignon,JCB,JCB winery US
1567,US,97,Pinot Noir,Williams Selyem,Williams Selyem winery US
1574,US,96,Cabernet Sauvignon,Groth,Groth winery US
1577,US,96,Pinot Noir,Williams Selyem,Williams Selyem winery US
1579,US,95,Pinot Noir,Williams Selyem,Williams Selyem winery US
1583,US,95,Syrah,Doyenne,Doyenne winery US
1584,US,95,Chardonnay,Hanzell,Hanzell winery US
1585,US,88,Chardonnay,Balletto,Balletto winery US
1586,US,88,Syrah,Billsboro,Billsboro winery US
1587,US,88,Chardonnay,C'est Bon,C'est Bon winery US
1591,US,88,Riesling,Château Frank,Château Frank winery US
1593,France,88,Sauvignon Blanc,Château Larrivet Haut-Brion,Château Larrivet Haut-Brion winery France
1600,US,88,Pinot Noir,Dark Horse,Dark Horse winery US
1601,US,88,Chardonnay,Domaine Anderson,Domaine Anderson winery US
1602,US,88,Riesling,Dowsett Family,Dowsett Family winery US
1605,New Zealand,87,Sauvignon Blanc,Mills Reef,Mills Reef winery New Zealand
1606,US,87,Riesling,Paumanok,Paumanok winery US
1607,US,87,Chardonnay,Broken Clouds,Broken Clouds winery US
1608,US,87,Chardonnay,Browne Family Vineyards,Browne Family Vineyards winery US
1614,France,87,Sauvignon Blanc,Château de Rochemorin,Château de Rochemorin winery France
1616,France,85,Chardonnay,Gabriel Meffre,Gabriel Meffre winery France
1617,Portugal,85,Rosé,Wines & Winemakers,Wines & Winemakers winery Portugal
1621,Argentina,85,Rosé,Alta Vista,Alta Vista winery Argentina
1623,France,85,Sauvignon Blanc,Paul Buisse,Paul Buisse winery France
1624,France,85,Pinot Noir,Saget la Perrière,Saget la Perrière winery France
1627,US,85,Chardonnay,Gruet,Gruet winery US
1628,France,85,Sauvignon Blanc,Jean-Max Roger,Jean-Max Roger winery France
1632,France,85,Merlot,Vinadeis,Vinadeis winery France
1634,Argentina,85,Rosé,Zolo,Zolo winery Argentina
1635,US,85,Pinot Noir,Gnarly Head,Gnarly Head winery US
1636,Australia,85,Chardonnay,Jacob's Creek,Jacob's Creek winery Australia
1637,US,85,Chardonnay,Ca' Momi,Ca' Momi winery US
1638,France,85,Pinot Noir,Domaine de Reuilly,Domaine de Reuilly winery France
1643,US,85,Chardonnay,Grayson,Grayson winery US
1644,US,85,Cabernet Sauvignon,Leaping Lizard,Leaping Lizard winery US
1650,Portugal,85,Rosé,Adega Mãe,Adega Mãe winery Portugal
1651,Argentina,85,Merlot,Aniello,Aniello winery Argentina
1661,US,85,Cabernet Sauvignon,Delfino,Delfino winery US
1664,US,85,Chardonnay,First & Local,First & Local winery US
1667,US,85,Cabernet Sauvignon,California Republic,California Republic winery US
1671,US,85,Merlot,Cliff Creek,Cliff Creek winery US
1672,US,90,Syrah,Quady North,Quady North winery US
1675,France,90,Syrah,Tardieu-Laurent,Tardieu-Laurent winery France
1677,US,90,Pinot Noir,Bonaccorsi,Bonaccorsi winery US
1678,US,90,Chardonnay,Chanin,Chanin winery US
1686,US,90,Sauvignon Blanc,Melrose,Melrose winery US
1687,Italy,90,Syrah,Pieve Vecchia,Pieve Vecchia winery Italy
1688,US,90,Cabernet Sauvignon,Piña,Piña winery US
1694,US,90,Cabernet Sauvignon,Ugly Duckling,Ugly Duckling winery US
1696,Italy,86,Merlot,Petra,Petra winery Italy
1697,Israel,86,Chardonnay,Recanati,Recanati winery Israel
1698,Italy,86,Syrah,Terralsole,Terralsole winery Italy
1703,US,86,Chardonnay,Prejean,Prejean winery US
1704,Israel,86,Cabernet Sauvignon,Kadesh Barnea,Kadesh Barnea winery Israel
1706,Australia,86,Chardonnay,Tyrrell's,Tyrrell's winery Australia
1707,Australia,86,Chardonnay,Vasse River,Vasse River winery Australia
1716,US,85,Chardonnay,St. Clement,St. Clement winery US
1724,US,85,Pinot Noir,Chaddsford,Chaddsford winery US
1725,US,85,Chardonnay,Ventosa,Ventosa winery US
1728,US,92,Pinot Noir,Presqu'ile,Presqu'ile winery US
1729,US,92,Chardonnay,Sante Arcangeli,Sante Arcangeli winery US
1730,US,92,Chardonnay,Sixto,Sixto winery US
1734,US,92,Syrah,Two Vintners,Two Vintners winery US
1735,US,92,Syrah,Va Piano,Va Piano winery US
1737,US,92,Chardonnay,Le P'tit Paysan,Le P'tit Paysan winery US
1739,US,92,Syrah,Mesa Del Sol,Mesa Del Sol winery US
1741,US,92,Pinot Noir,Analemma,Analemma winery US
1749,US,92,Chardonnay,Darcie Kent Vineyards,Darcie Kent Vineyards winery US
1752,US,84,Riesling,Washington Hills,Washington Hills winery US
1757,France,84,Sauvignon Blanc,Domaine Beausejour,Domaine Beausejour winery France
1758,France,84,Pinot Noir,Les Rocailles,Les Rocailles winery France
1761,US,84,Riesling,Silver Thread,Silver Thread winery US
1763,US,84,Riesling,Ventosa,Ventosa winery US
1765,France,84,Sauvignon Blanc,Cap Royal,Cap Royal winery France
1766,US,84,Rosé,Cave B,Cave B winery US
1769,Chile,84,Syrah,Château Los Boldos,Château Los Boldos winery Chile
1772,France,84,Rosé,Domaine de la Sanglière,Domaine de la Sanglière winery France
1777,France,84,Merlot,Château Donjon de Bruignac,Château Donjon de Bruignac winery France
1786,US,91,Riesling,Koenig Vineyards,Koenig Vineyards winery US
1787,US,91,Pinot Noir,Krutz,Krutz winery US
1788,US,91,Pinot Noir,Loring Wine Company,Loring Wine Company winery US
1789,US,91,Chardonnay,Loring Wine Company,Loring Wine Company winery US
1791,US,91,Pinot Noir,Manzoni,Manzoni winery US
1792,US,91,Syrah,Amavi,Amavi winery US
1794,US,91,Chardonnay,Bouchaine,Bouchaine winery US
1795,US,91,Pinot Noir,Bucher,Bucher winery US
1803,France,85,Chardonnay,Jean-Marc Burgaud,Jean-Marc Burgaud winery France
1805,US,85,Chardonnay,Jewelry Box,Jewelry Box winery US
1808,US,85,Chardonnay,Magnolia Court,Magnolia Court winery US
1811,US,85,Pinot Noir,Red Rock,Red Rock winery US
1813,Portugal,85,Sauvignon Blanc,Real Companhia Velha,Real Companhia Velha winery Portugal
1817,US,85,Pinot Noir,Decoy,Decoy winery US
1819,France,85,Rosé,Domaine du Vissoux,Domaine du Vissoux winery France
1825,US,84,Cabernet Sauvignon,Limited by Cambridge Cellars,Limited by Cambridge Cellars winery US
1829,US,84,Chardonnay,Cairdean Estate,Cairdean Estate winery US
1830,US,84,Pinot Noir,Cardwell Hill,Cardwell Hill winery US
1831,US,84,Cabernet Sauvignon,Viluko,Viluko winery US
1834,US,84,Sauvignon Blanc,Bota Box,Bota Box winery US
1836,US,84,Riesling,Good Harbor,Good Harbor winery US
1838,US,84,Cabernet Sauvignon,Long Meadow Ranch,Long Meadow Ranch winery US
1839,US,84,Cabernet Sauvignon,Mario Bazán,Mario Bazán winery US
1840,US,84,Cabernet Sauvignon,Medlock Ames,Medlock Ames winery US
1842,US,83,Sauvignon Blanc,Marilyn Sauvignon Blonde,Marilyn Sauvignon Blonde winery US
